;Sc;Ga;Zr;Ru;Rh;Cd;In;Te;Hf;Re;Ir;Pd;La;As;Bi;Co;Sm;Sb;V;Ce;Ag;Ge;Mo;Y;Ta;Pt;Au;Zn;Hg;Pb;Cu;W;Mn;Sn;Cr;Ni;Nb;Mg;Al;Si;Ti;Fe
Ge*;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Mo*;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001215;0.0;0.3834;0.0;0.0;0.0;0.0;0.024300000000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Y*;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05994041080540932;0.0;0.0;0.0;0.1707939470310106;0.0;0.0;0.016241178264271832;0.0;0.0;0.0;0.7266619396980862;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ta*;0.0;0.0;0.0;0.0;0.0;0.0;0.0005411127984700537;1.7450887750659233e-05;0.0;0.0;0.0;0.0;3.659728128786983e-05;0.0005519350544394547;0.00034901775501318465;0.0;4.9609274360468005e-06;0.0003102380044561642;0.0;9.928367760174265e-08;0.0;0.0;0.0;2.483720162063732e-06;0.7214837312934049;0.0;0.0;0.0;0.0;0.0;0.0;0.00018037093282335123;0.0;0.0036074186564670255;0.0;0.0;0.007250911499498719;0.0;0.0;0.0;0.0;0.0
Pt*;0.005707860233881905;5.7252596850366226e-06;0.0;0.8014044943820224;0.7188202247191011;0.0005725259685036621;0.0009322132802073595;0.008468605491926332;0.0;0.0057403738681911405;0.8014044943820224;0.37971910112359547;5.88847457197975e-07;0.004186985536559095;0.0013030224294136845;0.011685368585139855;7.98209430662837e-08;0.0008869439923193574;0.0;1.5974667800372167e-09;0.002939153272103542;0.00034351558110219725;0.00428247158509232;3.9962867468718975e-08;8.793350920168844e-06;0.8426966292134831;0.005351070672571835;0.0005725259685036621;0.00037333166181238595;0.0004941123402830439;0.009309720837157216;2.902154515523009e-06;0.0;5.8043090310460167e-05;0.016853932584269662;0.016853932584269662;6.683644123062904e-07;0.0;0.0;0.0;0.0;0.0
Au*;8.039200769602253e-05;0.000200837096715106;0.0;0.0;0.0;0.020083709671510602;0.01618554939865884;0.00112368445233477;0.0;0.0007081387420766785;0.0;0.0;4.136375575700432e-06;0.13265590257756896;0.0007398501500740633;0.00040196003848011263;5.6070446648417e-07;0.049884059038574284;0.0;1.12214504642366e-08;0.09370040726230604;0.012050225802906359;0.0005282903362881481;2.8072028996974497e-07;6.176914161747085e-05;0.0;0.8608071540033625;0.020083709671510602;0.0195360267307239;0.001061608346215546;0.0011484572528003218;2.038626627011505e-05;0.0;0.0004077253254023011;0.0;0.0;4.69494467019772e-06;0.0;0.0;0.0;0.0;0.0
Zn*;0.0007925629604642754;0.009065325079108146;0.0;0.0;0.0;0.9065325079108146;0.7285222800512031;0.013874552983409729;0.0;0.006981347448889604;0.0;0.0;0.00018464973618055884;0.1525429068527604;0.027796413752937135;0.003962814802321378;2.5030109069346568e-05;0.04914451675725937;0.0;5.009307858688896e-07;0.17980755095656378;0.5439195047464886;0.0052082708830509545;1.2531484758771196e-05;0.002757403309982121;0.0;0.011323042194686864;0.9065325079108146;0.023097563417291397;0.04589274179587235;0.011322328006632508;0.0009100524407399685;0.0;0.01820104881479937;0.0;0.0;0.0002095845212478149;0.0;0.0;0.0;0.0;0.0
Hg*;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pb*;0.0007584424669534074;0.00014522712033868893;0.0;0.0;0.0;0.014522712033868892;0.012211647739068717;0.07921066945804815;0.0;0.006680794644621017;0.0;0.0;3.4989103759394554e-06;0.14274926191536325;0.48791744600914094;0.0037922123347670367;4.742931679468804e-07;0.3874599523217254;0.0;9.492090054167648e-09;0.16769864625005312;0.008713627220321337;0.004984050497122392;2.3745791873494233e-07;5.2249774364757735e-05;0.0;0.0022839074377947956;0.014522712033868892;0.02193216076655423;0.9012678802209458;0.010834892385048677;1.724449757372226e-05;0.0;0.0003448899514744451;0.0;0.0;3.971397258392029e-06;0.0;0.0;0.0;0.0;0.0
Cu*;0.06393660679573754;0.000465449884668541;0.0;0.0;0.0;0.046544988466854086;0.08373029081429537;0.8308199735602515;0.0;0.5631901678607396;0.0;0.0;5.581749346733088e-05;0.2206585308618699;0.12756146945222205;0.3196830339786877;7.566314354755786e-06;0.06307816157818043;0.0;1.5142562045407112e-07;0.2434684654521927;0.027926993080112452;0.42015484465770386;3.7881238453256628e-06;0.0008335313357351463;0.0;0.11128840386176528;0.046544988466854086;0.027253564182804356;0.047996254277440954;0.9133800970819649;0.00027509839557127917;0.0;0.0055019679114255825;0.0;0.0;6.33549924716073e-05;0.0;0.0;0.0;0.0;0.0
W*;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006412500000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.12825;0.0;0.0;0.11399999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Mn*;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sn*;0.0;0.0;0.0;0.0;0.0;0.0;0.14561029757696706;0.004695932096857188;0.0;0.0;0.0;0.0;0.009848114910424925;0.14852250352850638;0.09391864193714373;0.0;0.001334956634296817;0.08348323727746111;0.0;2.6716658487842934e-05;0.0;0.0;0.0;0.0006683546072437383;0.14706343595604363;0.0;0.0;0.0;0.0;0.0;0.0;0.048536765858989014;0.0;0.9707353171797803;0.0;0.0;0.011177987531358239;0.0;0.0;0.0;0.0;0.0
Cr*;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ni*;0.2985082076095823;2.6131401238743658e-05;0.0;0.19859550561797754;0.2811797752808989;0.002613140123874365;0.004682567266408457;0.04631726647327569;0.0;0.03139716087866627;0.19859550561797754;0.5902808988764044;3.115475532558874e-06;0.08763318383374558;0.0071119253624563564;0.509394970632181;4.2231683616691525e-07;0.0035620792712375334;0.0;8.451881054159494e-09;0.013658482391551754;0.0015678840743246192;0.02342311710052949;2.1143563462451708e-07;4.652388204468298e-05;0.15730337078651685;0.006991319041180258;0.002613140123874365;0.0015371881867149567;0.0026766479953817066;0.050919819783759764;1.5354726040325482e-05;0.0;0.00030709452080650957;0.003146067415730337;0.9831460674157303;3.5361840285119257e-06;0.0;0.0;0.0;0.0;0.0
Nb*;0.0;0.0;0.0;0.0;0.0;0.0;9.57469035070623e-05;3.087837638102759e-06;0.0;0.0;0.0;0.0;6.475685605659189e-06;9.766184157720354e-05;6.175675276205519e-05;0.0;8.778085491005033e-07;5.489489134404905e-05;0.0;1.7567695175641686e-08;0.0;0.0;0.0;4.394804842318326e-07;0.12766253800941638;0.0;0.0;0.0;0.0;0.0;0.0;3.19156345023541e-05;0.0;0.000638312690047082;0.0;0.0;0.9812830085069947;0.0;0.0;0.0;0.0;0.0
Mg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
Al;0.0;0.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
Si;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
Ti;0.4;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.030177849131327678;0.0;0.0;0.0;0.022172407694217265;0.0;0.0;0.03036420575644005;0.0;0.0;0.0;0.007124083974894233;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
Fe;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7320668486427111;0.0;0.0;0.0;0.5272435562688578;0.0;0.63;0.6791978918629837;0.0;0.0;0.0;0.19627281501475558;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
