Nb;Sc;Ta;Ti;Zr;Mo;Cr;Mn;Fe;Hf;Co;Si;Mg;V;W;Y;In;Ag;Ga;Cd;Sb;Te;Cu;Re;Ge;Hg;Ru;Al;As;Zn;Ni;Ir;Bi;Au;Pt;Pb;Rh;Pd;Sn;stoich_entropy;delta;avg_VEC;Formation Energy (eV/atom);Bulk Modulus (GPa);Shear Modulus (GPa);Density;Melting_Temperature;LMP;GB ratio;Omega;Log_10(K_A);Origin;Cluster;Normalized Composition
;;;;;0.24;0.23;;;;0.17;;;;;;;;;;;;0.21;;;;;;;;;;;;;;0.14;;;1.59;0.03;8.01;-0.15;202.13;91.91;9.47;1775.9;32.19;0.45;1.57;0.4;Brute Force HEA;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Mo0.24Cr0.23Co0.17Cu0.21Rh0.14
;;;;;0.19;0.24;;0.17;;;;;;;;;;0.2;;;;;;;;0.21;;;;;;;;;;;;;1.6;0.04;8.14;-0.16;210.26;96.63;9.23;1760.56;31.61;0.46;1.51;0.24;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mo0.19Cr0.24Fe0.17Ga0.2Ru0.21
;;;;;0.21;0.22;;;;0.17;;;;;;;;0.17;;;;;;;;0.23;;;;;;;;;;;;;1.6;0.04;8.15;-0.17;223.68;103.71;9.26;1760.75;31.61;0.46;1.45;0.25;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mo0.21Cr0.22Co0.17Ga0.17Ru0.23
;;;;;0.2;0.19;0.18;0.24;;;;;;;;;;0.19;;;;;;;;;;;;;;;;;;;;;1.6;0.03;7.96;-0.18;196.16;97.44;8.53;1573.48;32.12;0.5;1.22;0.26;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mo0.2Cr0.19Mn0.18Fe0.24Ga0.19
;;;;;0.16;0.21;0.23;0.24;;;;;;;;;;0.16;;;;;;;;;;;;;;;;;;;;;1.59;0.03;7.8;-0.16;186.29;92.65;8.37;1656.24;32.05;0.5;1.44;0.34;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mo0.16Cr0.21Mn0.23Fe0.24Ga0.16
;;;;;0.2;0.22;;;;0.19;;;;;;;;0.17;;;;;;;;0.22;;;;;;;;;;;;;1.6;0.04;8.17;-0.17;224.33;103.33;9.31;1761.91;31.61;0.46;1.44;0.25;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mo0.2Cr0.22Co0.19Ga0.17Ru0.22
;;;;;0.23;;;;;0.19;;;0.23;;;;;;;;;;;0.16;;0.18;;;;;;;;;;;;;1.6;0.05;8.01;-0.16;218.52;101.54;9.33;2031.83;31.44;0.46;1.73;0.23;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mo0.23Co0.19V0.23Ge0.16Ru0.18
;;;;;0.24;0.19;;;;0.2;;;;;;;;;;;;0.21;;;;;;;;;;;;;;0.16;;;1.6;0.03;8.12;-0.17;205.96;90.96;9.61;1812.29;31.96;0.44;1.47;0.34;Brute Force HEA;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Mo0.24Cr0.19Co0.2Cu0.21Rh0.16
;;;;;0.15;0.23;0.25;0.22;;;;;;;;;;0.16;;;;;;;;;;;;;;;;;;;;;1.59;0.03;7.76;-0.16;185.73;92.87;8.33;1665.19;31.97;0.5;1.47;0.34;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mo0.15Cr0.23Mn0.25Fe0.22Ga0.16
;;;;;;0.22;;0.16;;0.33;0.06;;0.23;;;;;;;;;;;;;;;;;;;;;;;;;;1.5;0.05;6.94;-0.14;210.1;100.84;7.41;1663.86;30.75;0.48;1.53;-0.9;Brute Force HEA;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.22Fe0.16Co0.33Si0.06V0.23
;;;;;;0.27;0.21;0.26;;;0.11;;;;;;;;;;;;;;;;;;;0.15;;;;;;;;;1.56;0.07;7.1;-0.16;202.9;103.09;7.36;1614.3;30.74;0.51;1.38;-1.77;Brute Force HEA;Co0.09Cr0.26Fe0.26Mn0.32Si0.07;Cr0.27Mn0.21Fe0.26Si0.11Ni0.15
;;;;;;0.02;0.46;;;0.24;0.08;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;;1.32;0.06;6.83;-0.16;190.82;100.99;7.42;1605.38;30.75;0.53;1.16;-1.65;Brute Force HEA;Co0.11Cr0.05Fe0.06Mn0.63Si0.11V0.04;Cr0.02Mn0.46Co0.24Si0.08V0.19
;;;;;;;;0.33;;0.15;;;0.21;;;;;;;;;;;0.11;;0.21;;;;;;;;;;;;;1.54;0.04;8.14;-0.18;222.48;107.4;8.94;1792.71;32.18;0.48;1.34;0.36;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Fe0.33Co0.15V0.21Ge0.11Ru0.21
;;;0.02;;;0.4;;0.28;;;;;;0.14;;;;;;;;;;;;;0.16;;;;;;;;;;;;1.37;0.04;8.06;-0.13;214.7;90.98;8.97;1806.54;31.88;0.42;1.67;0.29;Brute Force HEA;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Ti0.02Cr0.4Fe0.28W0.14Al0.16
;;;;;0.34;0.31;;0.18;;;;;;;;;;0.09;;;;;;;;0.08;;;;;;;;;;;;;1.46;0.04;7.16;-0.12;198.38;89.77;9.03;1947.93;32.04;0.45;2.02;0.38;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mo0.34Cr0.31Fe0.18Ga0.09Ru0.08
;;;;;0.26;;;0.09;;;;;0.29;;;;;;;;;;;0.18;;;;;;0.18;;;;;;;;;1.54;0.05;8.06;-0.16;206.08;92.03;8.65;1811.12;31.41;0.45;1.52;0.26;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mo0.26Fe0.09V0.29Ge0.18Ni0.18
;;;;;;0.2;;0.21;;0.28;0.12;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;1.58;0.07;6.82;-0.17;214.63;101.56;7.27;1682.17;30.72;0.47;1.31;-1.66;Brute Force HEA;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.2Fe0.21Co0.28Si0.12V0.2
;;;;;;0.38;;;;0.31;0.04;;0.23;;;;;;;;;;;;;;;;;0.03;;;;;;;;;1.32;0.04;6.75;-0.14;205.74;97.98;7.27;1630.33;30.74;0.48;1.35;-0.37;Brute Force HEA;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.38Co0.31Si0.04V0.23Ni0.03
;;;;;0.39;;0.21;;;;;;0.18;;;;;0.06;;;;;;;;;;;0.15;;;;;;;;;;1.46;0.04;7.36;-0.18;187.1;82.53;8.44;1728.59;32.11;0.44;1.2;0.38;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mo0.39Mn0.21V0.18Ga0.06Zn0.15
;;;;;;0.37;;0.08;;0.34;0.07;;0.14;;;;;;;;;;;;;;;;;;;;;;;;;;1.4;0.05;6.9;-0.13;210.65;101.86;7.46;1692.74;30.75;0.48;1.53;-1.73;Brute Force HEA;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.37Fe0.08Co0.34Si0.07V0.14
;;;;;;;0.15;0.34;;0.2;0.08;;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;1.51;0.06;7.0;-0.16;212.78;105.08;7.37;1623.58;30.75;0.49;1.33;-1.7;Brute Force HEA;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Mn0.15Fe0.34Co0.2Si0.08V0.24
0.45;;;;;;;;;;;;;0.27;;;;;;;;;0.24;;;;;;;0.03;0.01;;;;;;;;;1.21;0.04;6.7;-0.14;194.68;77.89;7.93;1642.1;32.1;0.4;1.23;0.3;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Nb0.45V0.27Cu0.24Zn0.03Ni0.01
;;;;;0.31;0.25;;0.34;;;;;;;;;;;;;;;;;;;0.07;;;;;;;0.03;;;;;1.37;0.03;7.04;-0.19;194.93;88.75;8.78;1892.0;32.02;0.46;1.2;0.42;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mo0.31Cr0.25Fe0.34Al0.07Pt0.03
;;;;;0.02;;0.5;0.27;;;;;0.17;;;;;;;;;;;;;;0.05;;;;;;;;;;;;1.23;0.03;6.71;-0.15;167.65;82.8;7.6;1714.15;31.65;0.49;1.21;-1.25;Brute Force HEA;Co0.09Cr0.26Fe0.26Mn0.32Si0.07;Mo0.02Mn0.5Fe0.27V0.17Al0.05
;;;;;0.39;;;;;0.25;0.09;;0.2;0.07;;;;;;;;;;;;;;;;;;;;;;;;;1.44;0.07;7.31;-0.12;217.25;87.97;9.47;2146.41;31.56;0.4;2.25;0.25;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mo0.39Co0.25Si0.09V0.2W0.07
;;;;;0.35;0.3;;0.12;;;;;;;;;;;;;;0.21;;;;;;;;;;;;0.02;;;;;1.39;0.03;7.71;-0.15;198.45;88.58;9.47;1828.07;32.09;0.45;1.49;0.38;Brute Force HEA;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Mo0.35Cr0.3Fe0.12Cu0.21Pt0.02
;;;;;;0.26;0.29;0.25;;0.14;0.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.5;0.05;7.09;-0.14;185.44;92.73;7.67;1706.17;30.82;0.5;1.62;-1.07;Brute Force HEA;Co0.09Cr0.26Fe0.26Mn0.32Si0.07;Cr0.26Mn0.29Fe0.25Co0.14Si0.06
;;;;;;;0.38;0.39;;;0.08;;0.14;;;;;;;;;;;;;;;;;;;;;;;;0.01;;1.28;0.06;6.9;-0.12;179.88;86.43;7.54;1639.76;30.67;0.48;1.53;-1.35;Brute Force HEA;Co0.09Cr0.26Fe0.26Mn0.32Si0.07;Mn0.38Fe0.39Si0.08V0.14Pd0.01
;;;;;;0.43;;0.18;;0.34;0.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.2;0.05;7.28;-0.13;202.35;88.32;7.58;1752.69;30.66;0.44;1.36;-1.25;Brute Force HEA;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.43Fe0.18Co0.34Si0.05
;;;;;0.27;;;;;0.22;;;0.21;;;;;;;;;;;0.11;;0.19;;;;;;;;;;;;;1.58;0.05;7.75;-0.16;225.65;108.18;9.37;1992.63;31.45;0.48;1.65;0.28;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mo0.27Co0.22V0.21Ge0.11Ru0.19
0.08;;0.07;;;0.47;;;0.3;;;;;;;;;;0.08;;;;;;;;;;;;;;;;;;;;;1.31;0.03;8.01;-0.16;213.05;82.56;9.67;2042.74;31.98;0.39;1.41;0.39;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Nb0.08Ta0.07Mo0.47Fe0.3Ga0.08
;;;;;;0.19;0.33;0.26;;0.16;0.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.51;0.06;7.16;-0.16;184.92;91.34;7.55;1616.4;30.71;0.49;1.35;-1.65;Brute Force HEA;Co0.09Cr0.26Fe0.26Mn0.32Si0.07;Cr0.19Mn0.33Fe0.26Co0.16Si0.07
0.36;;;;;;0.27;;0.27;;;;;;;;;;0.08;;;;;;;;;;;;;;;;0.02;;;;;1.35;0.03;7.07;-0.16;187.06;84.81;8.43;1712.1;32.04;0.45;1.23;0.26;Brute Force HEA;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Nb0.36Cr0.27Fe0.27Ga0.08Pt0.02
0.43;;;;;;0.17;;0.04;;;;;;;;;;;;;;0.31;;;;;;;;0.05;;;;;;;;;1.31;0.03;7.41;-0.17;190.75;74.94;8.43;1698.83;32.12;0.39;1.14;0.39;Brute Force HEA;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Nb0.43Cr0.17Fe0.04Cu0.31Ni0.05
;;;;;0.37;;;;;0.19;;;;;;;;;;;;0.1;;;;;0.11;;;0.24;;;;;;;;;1.49;0.05;7.66;-0.16;210.92;95.42;8.94;1848.1;31.43;0.45;1.44;0.17;Brute Force HEA;Hf0.03Mo0.38Nb0.05Sc0.19Ta0.15Ti0.07V0.08Zr0.04;Mo0.37Co0.19Cu0.1Al0.11Ni0.24
;;;;;;0.16;;0.21;;0.33;0.06;;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;1.5;0.05;7.02;-0.15;208.5;102.99;7.42;1655.16;30.75;0.49;1.46;-0.87;Brute Force HEA;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.16Fe0.21Co0.33Si0.06V0.25
;;;;;;;;0.3;;0.25;0.09;;0.35;;;;;;;;;;;;;0.01;;;;;;;;;;;;;1.35;0.06;6.83;-0.15;210.84;101.53;7.38;1691.4;30.71;0.48;1.29;-1.6;Brute Force HEA;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Fe0.3Co0.25Si0.09V0.35Ru0.01
;;;;;0.27;;0.22;0.24;;;;;0.07;;;;;0.2;;;;;;;;;;;;;;;;;;;;;1.54;0.04;8.06;-0.19;194.31;99.27;8.7;1647.33;32.1;0.51;1.16;0.3;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mo0.27Mn0.22Fe0.24V0.07Ga0.2
;;;;;0.36;0.2;;;;;;;;;;;;0.13;;;;;;;;;;;;;;;;;;;0.31;;1.33;0.03;8.16;-0.17;206.45;81.33;9.63;1703.93;31.95;0.39;1.17;0.32;Brute Force HEA;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Mo0.36Cr0.2Ga0.13Pd0.31
;;;;;0.18;;;0.28;;0.3;;;;;;;;;;;;;;;;0.16;0.09;;;;;;;;;;;;1.53;0.04;7.5;-0.18;209.24;87.87;9.15;1843.93;31.63;0.42;1.36;0.27;Brute Force HEA;Hf0.03Mo0.38Nb0.05Sc0.19Ta0.15Ti0.07V0.08Zr0.04;Mo0.18Fe0.28Co0.3Ru0.16Al0.09
;;;;;;;0.26;0.44;;;;;0.22;;;;;;;;;;;;;;0.07;;0.02;;;;;;;;;;1.29;0.03;6.82;-0.18;182.5;90.51;7.51;1690.26;31.16;0.5;1.03;-1.49;Brute Force HEA;Co0.09Cr0.26Fe0.26Mn0.32Si0.07;Mn0.26Fe0.44V0.22Al0.07Zn0.02
;;;;;;0.36;;0.36;;0.21;0.07;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;1.29;0.05;7.2;-0.13;202.44;88.41;7.56;1705.61;30.81;0.44;1.44;-1.42;Brute Force HEA;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.36Fe0.36Co0.21Si0.07V0.01
;;;;;0.17;0.2;0.25;0.23;;;;;;;;;;0.15;;;;;;;;;;;;;;;;;;;;;1.59;0.03;7.75;-0.16;186.54;94.26;8.39;1665.49;32.13;0.51;1.4;0.36;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mo0.17Cr0.2Mn0.25Fe0.23Ga0.15
;;;;;0.31;;;0.06;;;;;0.28;;;;;0.1;;;;;;;;;;;;0.25;;;;;;;;;1.46;0.04;7.54;-0.15;203.9;94.49;8.73;1763.12;32.08;0.46;1.49;0.37;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mo0.31Fe0.06V0.28Ga0.1Ni0.25
0.11;;;;;0.41;;;;;0.27;;;;;;;;;;;;;0.08;;;;0.12;;;;;;;;;;;;1.42;0.05;7.54;-0.18;214.76;87.36;9.57;2020.59;31.54;0.41;1.35;0.38;Brute Force HEA;Hf0.03Mo0.38Nb0.05Sc0.19Ta0.15Ti0.07V0.08Zr0.04;Nb0.11Mo0.41Co0.27Re0.08Al0.12
;;;;;0.24;0.26;;0.27;;;;;;;;;;;;;;;0.09;;;;0.14;;;;;;;;;;;;1.53;0.04;7.45;-0.17;202.32;95.94;9.24;1925.91;31.59;0.47;1.48;0.38;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mo0.24Cr0.26Fe0.27Re0.09Al0.14
;;;;;0.19;0.25;;;;;;;;;;;;;;;;;;0.08;;0.21;;;;0.25;;;;;;;;;1.55;0.05;8.12;-0.13;223.01;108.39;9.51;1906.94;31.46;0.49;1.94;0.26;Brute Force HEA;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Mo0.19Cr0.25Ge0.08Ru0.21Ni0.25
;;;;;0.42;;;;;;;;0.31;;;;;0.04;;;;;0.07;;;;;;0.16;;;;;;;;;;1.34;0.04;8.03;-0.18;202.6;80.51;9.27;1928.58;32.27;0.4;1.25;0.38;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mo0.42V0.31Ga0.04Re0.07Zn0.16
;;;;;0.01;;0.39;;;;0.08;;0.19;;;;;;;;;;;;;;;;;0.32;;;;;;;;;1.3;0.06;7.32;-0.18;184.03;94.9;7.39;1690.58;30.88;0.52;1.03;-0.9;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mo0.01Mn0.39Si0.08V0.19Ni0.32
;;;;;;;;0.13;;0.41;;;0.03;;;;;;;;;;;;;0.39;0.05;;;;;;;;;;;;1.23;0.03;8.1;-0.18;230.12;103.08;9.65;1833.89;32.4;0.45;1.1;0.34;Brute Force HEA;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Fe0.13Co0.41V0.03Ru0.39Al0.05
;;;;;0.25;0.23;;;;0.25;;;;;;;;;;;;;;0.1;;0.17;;;;;;;;;;;;;1.56;0.05;7.89;-0.09;213.32;96.69;9.47;1887.43;31.43;0.45;2.76;0.26;Brute Force HEA;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Mo0.25Cr0.23Co0.25Ge0.1Ru0.17
;;;;;;0.51;;;;;0.04;;0.25;0.11;;;;;;;;;;;;;;;;0.09;;;;;;;;;1.28;0.04;7.55;-0.18;208.62;82.52;8.54;1871.42;31.56;0.4;1.12;0.27;Brute Force HEA;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.51Si0.04V0.25W0.11Ni0.09
;;;;;;0.28;0.17;;;0.3;0.08;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;1.52;0.06;6.73;-0.14;206.53;100.5;7.45;1649.74;30.75;0.49;1.57;-1.6;Brute Force HEA;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.28Mn0.17Co0.3Si0.08V0.17
;;;;;;0.14;;0.27;;;0.07;;0.27;;;;;;;;;;;;;;;;;0.24;;;;;;;;;1.52;0.05;7.1;-0.16;209.2;99.98;7.33;1673.42;30.75;0.48;1.33;-1.38;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Cr0.14Fe0.27Si0.07V0.27Ni0.24
;;;0.1;;0.16;;0.26;0.32;;;;;;;;;;0.17;;;;;;;;;;;;;;;;;;;;;1.53;0.03;7.86;-0.18;191.66;92.17;8.29;1674.26;32.05;0.48;1.2;0.18;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Ti0.1Mo0.16Mn0.26Fe0.32Ga0.17
0.44;;0.07;0.17;;;;;;;;;;;;;0.11;;;;;;;;;;;;;0.21;;;;;;;;;;1.41;0.04;8.12;-0.16;150.68;56.36;8.42;1821.76;31.56;0.37;1.38;0.29;Brute Force HEA;Ag0.12Mg0.31Mn0.2Nb0.28Ta0.09;Nb0.44Ta0.07Ti0.17In0.11Zn0.21
;;0.01;;;0.23;;0.49;;;;;;0.17;0.1;;;;;;;;;;;;;;;;;;;;;;;;;1.26;0.03;7.8;-0.16;208.8;90.34;9.9;1946.53;32.42;0.43;1.34;0.33;Brute Force HEA;Co0.09Cr0.26Fe0.26Mn0.32Si0.07;Ta0.01Mo0.23Mn0.49V0.17W0.1
0.36;;;;;;;;;;;;;0.2;;;;;;0.11;;;0.33;;;;;;;;;;;;;;;;;1.31;0.05;7.73;-0.12;187.46;79.68;8.58;1618.3;31.53;0.43;1.47;0.24;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Nb0.36V0.2Cd0.11Cu0.33
;;;;;;0.2;0.42;0.26;;;0.06;;;;;;;;;;;;;;;;;;;0.06;;;;;;;;;1.38;0.05;7.06;-0.14;178.32;88.7;7.63;1692.4;30.82;0.5;1.4;-1.25;Brute Force HEA;Co0.09Cr0.26Fe0.26Mn0.32Si0.07;Cr0.2Mn0.42Fe0.26Si0.06Ni0.06
;;;;;0.05;0.13;;;;;0.08;;;;;;;;;;;;;;;0.38;;;;0.36;;;;;;;;;1.35;0.06;8.04;-0.17;227.23;103.01;9.59;1975.17;31.39;0.45;1.32;0.16;Brute Force HEA;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Mo0.05Cr0.13Si0.08Ru0.38Ni0.36
;;;;;;0.1;;0.29;;;;;0.26;;;;;;;;;;;0.18;;0.16;;;;;;;;;;;;;1.55;0.04;8.1;-0.19;215.0;100.46;8.63;1798.54;31.65;0.47;1.29;0.28;Brute Force HEA;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Cr0.1Fe0.29V0.26Ge0.18Ru0.16
